State,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
Alaska,56684,64998,65386,66704,69182,69506,66168,64220,58662,54014,53282,53790,55878,56526,52662,56338,57476,55234,49152,49924
Alabama,397208,438800,435778,408548,413718,412376,411924,422376,400130,385638,404318,385670,400662,403144,403328,394142,401156,409060,422802,398402
Arkansas,228816,245498,228466,233224,235426,233042,235902,238104,217426,206262,220038,222592,225740,223066,249513,255168,254054,254636,248448,247966
Arizona,578280,555422,538670,585026,645852,692900,625854,655468,613970,563729,598184,645098,696934,683642,640310,635646,632572,620758,593912,529698
California,3930474,4115026,4123522,4030530,3880994,3683968,3320262,3139898,2837348,2522328,2533428,2694112,2531316,2841272,2832738,2781419,2700274,2599370,2531878,2368734
Colorado,398868,410244,413540,394170,388880,404398,391362,361326,356394,329626,342608,372758,391872,390929,394886,413894,365340,326094,316472,302436
Connecticut,354136,353062,331574,304784,297892,294962,276828,260572,247942,222472,220182,213582,208466,207527,208109,199148,195210,186034,195894,186426
Delaware,71418,79824,66812,68210,68340,73976,70976,75224,79804,72912,70180,64534,63606,66936,64722,63154,69976,70206,75144,70796
District of Columbia,130778,128786,134374,135958,126372,134882,129198,104098,92420,83736,83252,88854,91598,83514,68972,68330,71670,74456,77440,73168
Florida,2279868,2269626,2254720,2284676,2302242,2181998,2159246,2131218,2054246,1875436,1820308,1826460,1811914,1763952,1701790,1677910,1699758,1756454,1770332,1651102
Georgia,876322,860118,864860,856734,848058,864644,927904,867126,834958,801936,777898,779086,771660,818768,833746,838518,816578,838833,869120,806116
Hawaii,135352,135528,141798,147132,157526,170894,155922,142984,127246,114648,125974,131894,150476,138534,127476,128736,115994,115458,98908,102132
Iowa,227742,231092,222550,216478,206778,233150,208134,217654,200376,184994,189260,192998,202530,191458,188548,186134,184068,173918,163854,157130
Idaho,81690,87188,85278,84516,92384,102378,95418,94990,91306,78858,82456,82784,85094,86808,84502,84452,78192,74548,71860,70050
Illinois,1356832,1415646,1341128,1314258,1322300,1290816,1260518,1223178,1173846,1095120,1064630,1027836,1012526,972522,945702,930332,876348.641,857846.877,865480.726,808414.676
Indiana,519302,540558,53074,510180,528360,537536,525484,523804,491904,447616,456270,468564,441645,459762,464446,474160,482006,473382,468958,442724
Kansas,257328,276162,268444,251848,247582,250700,240828,236844,255474,235606,237054,232892,221794,240214,240202,154356,230812,229372,213550,204780
Kentucky,243188,249384,249598,247018,255432,258754,245958,244410,227450,233960,239252,235732,239382,227204,230722,233484,236172,238652,254212,239828
Louisiana,547472,546340,561294,588122,575714,579746,595112,561342,532870,502504,484688,476742,457056,444640,455994,386999,402316,412416,401446,402994
Massachusetts,637484,638256,600142,588448,536562,527420,467516,449696,422406,402920,384262,395328,397780,389840,375278,362742,365376,364156,371942,367362
Maryland,557564,603536,611006,606374,612992,634764,614922,575938,551054,508840,510170,523200,518240,496392,482870,475674,467172,457716,466928,431840
Maine,90812,93062,77032,78154,81164,81526,84378,77792,75652,72044,66800,69178,68762,67000,66208,66744,69624,67092,68010,66572
Michigan,1114464,1150026,1058944,1033576,1034152,989806,981942,961158,919440,853192,816912,815554,778732,764230,719084,737656,762258,725526,692106,667688
Minnesota,397154,398548,411328,396250,396506,414654,415782,413666,382394,343604,343222,356382,354908,341958,337540,347083,351088,345664,325952,304320
Missouri,524048,558680,529388,533388,560276,545234,544900,520162,525012,500726,506676,537766,522154,523262,505710,516572,510900,498882,492572,462592
Mississippi,199122,218804,223888,233550,258202,243510,245684,252904,241294,236462,227822,239230,238884,232406,219060,206724,204173,203852,190794,191556
Montana,71950,58954,75744,80376,85922,83474,78998,77506,71644,62386,63756,66724,63896,63558,59876,64028,55535,58486,54828,55248
North Carolina,727276,793446,794094,785110,795410,811528,809368,815486,803230,791942,791944,808484,785652,795806,787144,789010,814168,825232,831620,763306
North Dakota,37336,35482,36930,35818,34910,36746,34378,34760,34210,30344,29388,30678,30516,27744,26102,27108,27064,25998,28300,29072
Nebraska,132998,138722,138888,137592,144136,148786,146584,141964,146518,136888,140170,148354,147212,140588,133810,130800,128181,122938,113740,109860
New Hampshire,80870,76196,68450,65362,62330,60968,65618,61926,57350,54812,60136,58466,56612,56786,57720,51584,52932,53406,60362,61830
New Jersey,842160,842938,788926,756514,736800,747416,692232,653422,593054,553746,531870,547299,519934,503676,484512,471478,461260,441654,454956,415730
New Mexico,202538,206792,203446,202520,204692,216624,226194,238966,233422,207480,200782,194766,188392,178702,185952,163127.939,179056,172958,177520,174696
Nevada,145748,161752,164648,171684,194580,201328,192104,203404,184500,168370,170594,17969,195504,219882,225188,234156,241088,232346,217580,199230
New York,2289748,2255302,2122978,2020352,1842556,1654050,1502912,1418656,1304404,1193486,1196157,1112050,1074242,1043130,1015296,983658,960540,923462,932262,905294
Ohio,1050746,1101120,1027904,994930,990620,982446,995662,1010010,970132,899760,917748,950276,938208,911336,918197,642683,924888,871138,866142,829502
Oklahoma,352222,359964,348928,342116,362950,366926,373204,364516,334958,314572,314604,318810,331430,337932,334214,322900,293610,291268,290288,301820
Oregon,320956,336330,346578,349624,388614,412346,384264,406656,370646,331732,331560,350348,342887,360738,354398,341286,292536,285840,269770,249496
Pennsylvania,826036,851276,814862,788272,788652,812418,857512,824926,785576,746904,735716,727680,700892,699698,701218,706410,717306,690718,702706,650740
Rhode Island,107424,101190,92018,89980,82134,84042,79072,72138,69512,70994,72888,78040,76786,70610,67678,63994,60135,60294,65102,60472
South Carolina,421558,439960,424654,430120,439740,445446,459722,461274,443214,413814,418964,438336,435138,442094,447233,436392,432780,446062,445502,418218
South Dakota,40498,43294,42644,42302,44734,44624,43480,47896,38732,38772,35022,35288,34684,33306,32408,30162,27963,29006,31882,32310
Tennessee,492692,531622,516042,534328,529904,563728,579808,591746,546840,514826,556436,591536,581922,593948,592208,602394,590394,596208,593130,558180
Texas,2658988,2713054,2492296,2322062,2158450,2128672,2184004,2130714,2020124,2017134,2066622,2197618,2260584,2278392,2264512,2222768,2161676,2214392,2187012,2233532
Utah,195024,198510,205178,194830,202284,237664,239434,246894,231248,211998,199916,192614,206258,211946,206638,202316,190786,197608,196914,195498
Virginia,549514,579238,548236,534270,530400,528010,529764,522044,497152,463772,428696,456890,458078,441878,441952,443669,421948,422014,433476,424430
Vermont,48858,44852,38874,45762,37704,40174,35374,33316,37104,33470,36361,33956,31200,29020,30544,31062,30462,30404,33514,31694
Washington,605700,632678,634070,625586,644102,681026,653936,664932,667598,605018,601864,616984,619862,625628,644334,658810,617306,565124,539248,535254
Wisconsin,430000,442566,432508,408488,400904,398128,394364,380266,370186,346124,344248,358820,353974,339576,316516,321846,344708,350510,341781,324684
West Virginia,89782,95936,94576,92186,92134,89870,90692,89678,92260,98322,94134,92240,90640,93994,102872,105450,105518,101480,102752,103538
Wyoming,38198,40378,42640,39132,40838,41474,40924,40136,36630,33166,32570,34784,35716,35924,36104,34484,33168,32470,31646,30878
