States,2003-2004,2004-2005,2005-2006,2006-2007,2007-2008
"Alabama",3.3,2.8,2.5,2.3,2.2
"Alaska",7.0,8.2,8.0,7.3,7.3
"Arizona",6.7,6.2,7.6,7.6,6.7
"Arkansas",4.7,4.3,3.1,4.6,4.7
"California"â3.3,3.1,3.7,5.5,5.0
"Colorado",5.4,7.8,7.8,6.9,6.4
"Connecticut"â5.4â7.8,2.0,2.1,2.8
"Delaware",6.1,5.3,5.5,5.5,6.0
"District of Columbia"â6.1â5.3â5.5,7.1,5.5
"Florida"â3.4,3.5,4.1,3.8,3.3
"Georgia",5.4,5.6,5.2,4.6,4.3
"Hawaii"â4.8,4.7,4.7,5.4,5.4
"Idaho",3.1,3.0,2.7,2.6,2.0
"Illinois",5.3,4.5,4.0,4.0,5.2
"Indiana",2.5,2.5,2.9,2.7,1.7
"Iowa",2.5,2.2,2.2,2.3,2.9
"Kansas",2.2,2.1,2.4,2.7,2.5
"Kentucky",3.3,3.5,3.3,3.0,2.8
"Louisiana",7.9,7.5,8.4,7.4,7.5
"Maine",2.7,2.8,5.4,5.3,4.4
"Maryland",4.1,3.9,3.9,3.8,3.6
"Massachusetts",3.7,3.8,3.4,3.8,3.4
"Michigan",4.6,3.9,3.5,7.4,6.2
"Minnesota",4.6,3.6,3.1,3.0,2.8
"Mississippi",2.9,2.8,3.0,4.3,4.6
"Missouri",3.3,3.7,4.1,3.7,4.9
"Montana",3.4,3.4,3.7,3.7,5.2
"Nebraska",2.8,2.7,2.8,2.8,2.5
"Nevada",6.0,5.8,7.7,4.5,5.1
"New Hampshire",3.8,3.5,3.2,3.2,3.0
"New Jersey",3.8â3.5,1.7,2.0,1.7
"New  Mexico",5.2,4.2,5.5,6.1,5.2
"New York"â5.6,5.7,4.4,5.3,3.9
"North  Carolina",5.2,5.2â4.4,5.7,5.2
"North  Dakota",2.0,1.9,2.1,2.3,2.4
"Ohio"â3.3,3.5,4.1,4.5,4.3
"Oklahoma",3.9,3.5,3.6,3.5,3.1
"Oregon",3.9â3.5,4.6,4.6,3.8
"Pennsylvania",2.9,2.9,2.8â4.6,2.6
"Rhode  Island",3.4,4.1,4.1,5.8,5.3
"South  Carolina",3.4,3.3â4.1,3.9,3.9
"South Dakota",4.2,4.4,4.4,3.9,2.3
"Tennessee",3.3,2.7,2.8,3.1,3.9
"Texas"â3.6,3.6,4.3,4.0,4.0
"Utah",3.8,3.7,3.3,3.1,4.2
"Vermont",2.8,2.6â3.3,3.1â4.2
"Virginia",2.8,2.5,2.7,2.6,2.7
"Washington",6.5,4.5,5.6,5.1,5.7
"West  Virginia",4.3,4.1,3.9,4.0,4.4
"Wisconsin",4.3,2.4,2.2,2.2,2.3
"Wyoming",4.6,4.8,5.7,5.1,5.0